{'codigo': 4454028164, 'nome': 'medicamento_347952', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 27178, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 9454954186, 'nome': 'medicamento_413690', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 125184, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 159039615, 'nome': 'medicamento_552420', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 212189, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 4876851445, 'nome': 'medicamento_614575', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 293193, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6789267441, 'nome': 'medicamento_934550', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 366197, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2338298274, 'nome': 'medicamento_231828', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 432201, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1848670579, 'nome': 'medicamento_567101', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 499205, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1872835130, 'nome': 'medicamento_637734', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 591210, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2731201736, 'nome': 'medicamento_363353', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 690216, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2320968674, 'nome': 'medicamento_157500', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 764220, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5096180885, 'nome': 'medicamento_639058', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 834224, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 9148879703, 'nome': 'medicamento_981573', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 900228, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6141772216, 'nome': 'medicamento_754807', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 4, 973232, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6239401940, 'nome': 'medicamento_679150', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 37236, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 9968907899, 'nome': 'medicamento_283983', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 115240, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 905318344, 'nome': 'medicamento_428715', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 193245, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 4603437129, 'nome': 'medicamento_358877', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 266249, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6010250533, 'nome': 'medicamento_203972', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 334253, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 9969234653, 'nome': 'medicamento_80985', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 405257, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 276289119, 'nome': 'medicamento_866623', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 470261, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6574546964, 'nome': 'medicamento_845251', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 545265, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 688733708, 'nome': 'medicamento_206432', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 635270, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2029069941, 'nome': 'medicamento_209788', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 723275, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6410966843, 'nome': 'medicamento_886337', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 792279, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 3872892558, 'nome': 'medicamento_395167', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 855283, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6825950813, 'nome': 'medicamento_941731', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 5, 921286, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5938804350, 'nome': 'medicamento_38091', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 1291, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1901317275, 'nome': 'medicamento_612988', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 80295, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 8726914795, 'nome': 'medicamento_159383', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 160300, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 4865277160, 'nome': 'medicamento_76550', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 235304, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 7326300214, 'nome': 'medicamento_788560', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 321309, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 9803716850, 'nome': 'medicamento_851702', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 389313, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2453157503, 'nome': 'medicamento_977149', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 465317, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5598808455, 'nome': 'medicamento_789079', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 558323, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2340542625, 'nome': 'medicamento_576852', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 692330, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 8905712727, 'nome': 'medicamento_781684', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 772335, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2665259742, 'nome': 'medicamento_781588', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 847339, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 3627983382, 'nome': 'medicamento_106621', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 918343, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6488102394, 'nome': 'medicamento_558655', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 6, 994348, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6461526220, 'nome': 'medicamento_745451', 'created_on': datetime.datetime(2021, 6, 22, 1, 48, 7, 77352, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
