{'codigo': 5471367105, 'nome': 'medicamento_307535', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 441503, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5718131240, 'nome': 'medicamento_357378', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 491506, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 3981437292, 'nome': 'medicamento_650691', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 552509, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 8504591387, 'nome': 'medicamento_80803', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 602512, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 8678794118, 'nome': 'medicamento_807548', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 648515, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 3433814449, 'nome': 'medicamento_37563', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 693517, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 2746490984, 'nome': 'medicamento_374043', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 742520, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5958307529, 'nome': 'medicamento_827420', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 789523, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 4789273802, 'nome': 'medicamento_977704', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 836526, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 3461611005, 'nome': 'medicamento_509734', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 894529, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5323940192, 'nome': 'medicamento_155992', 'created_on': datetime.datetime(2021, 6, 22, 22, 53, 17, 939531, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
